Kilometres,Body,Seats,Fuel type,Transmission,Model detail,location,item_url,is_import,enginesize,price,district,city
64470.0,"BLACK, 5 door, Hatchback",5.0,Petrol,Automatic,150X_S Package FACELIFT,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150604646.htm?rsqid=d4d05d3313324e4981ca29ca5ab98adc-001,,1500.0,9970.0, Auckland,Manukau
34750.0,"White, 5 door, Hatchback",5.0,Petrol,Automatic,LT 1.4P/CVT/HA/4DR/5,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/holden/auction-2052345330.htm?rsqid=79c3459d62b64030ba7d2c189bbf4be5-001,,1399.0,13880.0, Auckland,North Shore
120487.0,"Blue, Hatchback",5.0,Petrol,Automatic,- MANUKAU XG,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/suzuki/auction-2157014676.htm?rsqid=bb4583d405a84557a57c807c9efb6e19-001,,1200.0,5970.0, Auckland,Manukau
68000.0,"SILVER, Hatchback",5.0,Petrol,Manual,GT NZ NEW,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mg/auction-2158046773.htm?rsqid=cbbadfdcf8d24f5d8b7eb9d9911deda5-001,,1796.0,11990.0, Auckland,North Shore
48265.0,"Red, 5 door, RV/SUV",5.0,Diesel,Automatic,"2.2 2wd, free nz nav","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2158536699.htm?rsqid=71dc20d6e65f4047926524cdb3fb1047-001,,2200.0,20920.0, Auckland,Manukau
55055.0,"Silver, 4 door, Van",7.0,Petrol,Automatic,SW PREMIUM / 7 seater !!,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/peugeot/auction-2156874524.htm?rsqid=5944f9b07d994274bd160adcc32abd62-001,,1590.0,9550.0, Auckland,North Shore
74700.0,"Purple, 4 door, Sedan",5.0,Petrol,Tiptronic,Z-Series V6,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/holden/auction-2056615577.htm?rsqid=dc556dc843e247439a6079177352acb1-001,,2997.0,14995.0, Auckland,Manukau
81856.0,"Silver, 5 door, RV/SUV",5.0,Diesel,Automatic,5 LT AWD 2.2D AT,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/holden/auction-2152676217.htm?rsqid=fd2aa374db104a03a346fe65449a1287-001,,2231.0,19999.0, Auckland,Auckland City
999.0,"White, Ute",5.0,Diesel,Automatic,Huntaway II 5At 2.4D/4WD,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2153308932.htm?rsqid=fd2aa374db104a03a346fe65449a1287-001,,2442.0,69990.0, Auckland,Auckland City
999.0,"Floret Silver, Station Wagon",5.0,Diesel,Automatic,Allroad 2.0TDI quattro,"Hamilton, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/audi/auction-2053433501.htm?rsqid=b9596fc6f2f04887b3a2b58857bb500c-001,,1968.0,82990.0, Waikato,Hamilton
10500.0,"Bronze, RV/SUV",7.0,Petrol,Automatic,"Allspace TSI Highline Full leather, 4Motion, 7seat","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2044916553.htm?rsqid=a8d59e681dbe42fdb0c00a02aaab53ef-001,,1984.0,49990.0, Auckland,Manukau
30400.0,"Silver, Convertible",2.0,Petrol,Automatic,,"Lower Hutt City, Wellington, NZ",https://www.trademe.co.nz/motors/used-cars/mercedesbenz/auction-2147687656.htm?rsqid=e40b2cffff62410a9559c877d7edf43f-001,,4663.0,74990.0, Wellington,Lower Hutt City
77000.0,"Silver, 4 door, Sedan",5.0,Petrol,Automatic,**Hybrid*Rev camera**,"Hamilton, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/honda/auction-2152307128.htm?rsqid=2cc80bba9bfc47909683872a3aa1edc2-001,,1300.0,8490.0, Waikato,Hamilton
56750.0,"Silver, 5 door, Hatchback",5.0,Petrol,Automatic,15M Low Mileage !,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2161339514.htm?rsqid=e62b3865dda94b5892d0405302ead3a5-001,,1500.0,6500.0, Auckland,Auckland City
39900.0,"Brown, RV/SUV",,Petrol,Automatic,Cactus 1.2L Turbo 2wd,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/citroen/auction-2055195242.htm?rsqid=8075110b10834de9896226b20f4e638d-001,,1199.0,19990.0, Auckland,North Shore
65900.0,"Blue, Coupe",,Petrol,Automatic,"Quattro, Low Kms","Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/audi/auction-2159583983.htm?rsqid=9c9ec12ee28542bd8cbd6678b1c03991-001,,4200.0,37990.0, Canterbury,Christchurch City
132000.0,"black, 4 door, Van",8.0,Petrol,Automatic,20S 8 Seater,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2157031179.htm?rsqid=bb4583d405a84557a57c807c9efb6e19-001,,,6400.0, Auckland,Manukau
